PY,JI,TI,AU,AB,C1,AU_CO,AU1_CO,AUc_CO,N_AU,AU_TW,FU_TW,RP,FU,FX,DE,DI,DT,ID,PU,SO,TC,VL,DB,AU_UN,AUc_UN,Group
2007.0,J. Asian Earth Sci.,Prehistoric earthquakes along the Shanchiao fault Taipei Basin northern Taiwan,Huang S;Rubin C;Chen Y;Liu H,"Stratigraphic relations recorded in boreholes drilled along the Shanchiao fault, a normal fault that bounds the western margin of metropolitan Taipei, reveal evidence of early-mid Holocene subsidence and active extension of the Taipei Basin. Pateoseismic data suggest that the maximum displacement for each subsidence event ranges from 2.3 to 4.5 m. Despite large uncertainties, the large offsets imply earthquake magnitudes that range in size from 6.9 to 7.1. Our results suggest that large magnitude earthquakes along the Shanchiao fault are one of the major seismic hazards in the metropolitan Taipei area. (c) 2007 Elsevier Ltd. All rights reserved.","Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.; Cent Washington Univ, Dept Geol Sci, Washington, DC USA.; Cent Geol Survey, Taipei, Taiwan.;",TAIWAN;USA;TAIWAN,TAIWAN,TAIWAN,4,1.0,1.0,"Huang, SY (corresponding author), Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.",,,Shanchiao fault; normal fault; Taipei; subsidence; palcoearthquake,10.1016/j.jseaes.2006.07.025,Article,VELOCITY-FIELD; DEFORMATION; HOLOCENE; WASATCH; AREA,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,27,31,ISI,NATL TAIWAN UNIV;CENT WASHINGTON UNIV,NATL TAIWAN UNIV,B2
2007.0,J. Asian Earth Sci.,Reevaluation of the surface ruptures of the November 1951 earthquake series in eastern Taiwan and its neotectonic implications,Shyu J;Chung L;Chen Y;Lee J;Sieh K,"The earthquakes of November 1951 constitute the most destructive seismic episode in the recorded history of the Longitudinal Valley, eastern Taiwan. However, information about their source parameters is sparse. To understand the relationship between the 1951 ruptures and new interpretations of the regional neotectonic architecture of the Longitudinal Valley, we re-evaluated the November 1951 ruptures by analyzing old documents, reports and photographs, and by interviewing local residents who experienced the earthquake. As a result, we have revised significantly the rupture map previously published. We divide the surface ruptures from south to north into the Chih-shang, Yuli, and Rueisuei sections. The first shock of the 1951 series probably resulted from the Chihshang rupture, and the second shock probably resulted from the Yuli and Rueisuei ruptures. The lengths of these ruptures indicate that the two shocks had similar magnitudes. The Chihshang and Rueisuei ruptures are along segments of the Longitudinal Valley fault, a left-lateral oblique fault along which the Coastal Range thrusts westward over the Longitudinal Valley. The Yuli rupture, on the other hand, appears to be part of a separate, left-lateral strike-slip Yuli fault, which traverses the middle of the Longitudinal Valley. The complex behavior of these structures and interaction between them are important in understanding the future seismic hazard of the area. (c) 2006 Elsevier Ltd. All rights reserved.","CALTECH, Div Geol & Planetary Sci, Tecton Observ, Pasadena, CA 91125 USA.; Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.; Acad Sinica, Inst Earth Sci, Taipei 115, Taiwan.;",USA;TAIWAN;TAIWAN,USA,USA,5,2.0,1.0,"Shyu, JBH (corresponding author), CALTECH, Div Geol & Planetary Sci, Tecton Observ, Pasadena, CA 91125 USA.",,,Taiwan; Longitudinal Valley fault; surface ruptures; earthquake; neotectonics,10.1016/j.jseaes.2006.07.018,Article,CHIHSHANG FAULT; LONGITUDINAL VALLEY; EVOLUTION; COLLISION; PLATE; DEFORMATION; MAGNITUDE; SUTURE; MODEL; ZONE,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,29,31,ISI,DIV GEOL AND PLANETARY SCI;NATL TAIWAN UNIV;INST EARTH SCI,DIV GEOL AND PLANETARY SCI,B2
2007.0,J. Asian Earth Sci.,River terrace development in response to folding above active wedge thrusts in Houli Central Taiwan,Chen Y;Hung J;Lai K;Lin Y;Wilcox T;Mueller K,"Folding at the leading edge of the western Taiwan thrust belt is well preserved by a flight of fluvial terraces at Houli. Strain in this region is driven by slip on the north trending Changhua and Sanyi blind wedge thrusts and occurs at the boundary between the Miaoli and Taichung neotectonic domains located respectively to the north and south. In the past century, two large historical earthquakes occurred in these two domains and produced surface ruptures within or close to the study area, indicating Houli is not only tectonically active but also critical for understanding the interaction between the neighboring active systems. Although abundant river terraces and their deformation by active structures have long been well known in the area, a kinematical model for this region has not yet been proposed. We have therefore remapped the geomorphic features using the 40m DEM and aerial photos to identify often subtle structural features in order to separate the effects of folding interference produced by different active structural systems. Besides the Tuntzuchiao fault (TTCF), which generated the 1935 earthquake, two other active regional scale structural systems have been reported in Houli area: the Tiechanshan (TCS) anticline and the Changhua fault (CHF). Our results demonstrate a number of tectonic scarps and warped surfaces in association with the CHF and its coupled back thrust, indicating that the CHF system is active. In contrast, the flight of fluvial terraces distributed in the middle of the study area cannot be related to the growth of the TCS anticline. Instead, terraces here record growth of another smaller and previously unknown anticline, Yuehmei (tentatively named in this study and shortened to YM in the text). Although it has developed parallel to the TCS anticline, relevant seismic profiles show the YM anticline as a local drag-fold attached to the southern limb of the TCS anticline and restricted in the Houli area. Based on the above observation, the TCS anticline can be interpreted as becoming less active where strain is instead transferred to the more rapidly uplifting YM anticline. This structural switch may be the result of interference between the newly developed southern Taichung system and the preexisting TCS anticline. (c) 2007 Elsevier Ltd. All rights reserved.","Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.; Natl Cent Univ, Dept Earth Sci, Chungli 32054, Taiwan.; Univ Colorado, Dept Geol Sci, Boulder, CO 80309 USA.;",TAIWAN;TAIWAN;USA,TAIWAN,TAIWAN,6,1.0,1.0,"Chen, YG (corresponding author), Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.",,,river terrace; geomorphic feature; neotectonics; Taan river; Houli; structural morphology,10.1016/j.jseaes.2006.07.023,Article,EVOLUTION,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,2,31,ISI,NATL TAIWAN UNIV;NATL CENT UNIV;UNIV COLORADO,NATL TAIWAN UNIV,B2
2007.0,J. Asian Earth Sci.,Structure of the 1999 ChiChi earthquake rupture and interaction of thrust faults in the active fold belt of western Taiwan,Lee J;Chan Y,"We summarize the structural characteristics of the surface ruptures of the 1999 Mw 7.6 Chi-Chi earthquake in western Taiwan and discuss the geological interaction of the Chelungpu fault with adjacent faults. Based on geological investigations, seismological analyses, and GPS measurements of surface co-seismic displacements, we describe the regional 3-D fault plane and slip distribution of the Chi-Chi earthquake and compare these to the geological features of the Chelungpu fault. We find that one key feature of the Chelungpu fault is the stratigraphy-controlled slip surface: at the level of the uppermost few kilometers, the Chelungpu fault slip plane generally follows the bedding plane of the Pliocene Chinshui shale. The second key feature of the Chelungpu fault is the difference in structurally geometric configuration between its northern and southern segments. The northern Fengyuan segment shows a bedding-parallel thrust fault within east-dipping strata in both footwall and hanging wall. In contrast, the southern Tsaotun segment exhibits east-dipping strata are overthrust onto flat-lying recent alluvial deposits. These two features not only explain a hinterland imbricate thrusting on the hanging-wall of the Fengyuan segment, but also explain the change in strike of the Chi-Chi surface ruptures at the northern end. The southern end of the 1999 Chi-Chi rupture is interpreted to be linked to a series of NW-trending strike-slip faults. In particular, we propose that the Luliao strike-slip fault served as the lateral ramp of the Chelungpu fault, and the Gukeng strike-slip fault acted as a barrier to end the southern propagation of the 1999 rupture. Geomorphic features and paleoseismological data indicate that the range-front Chelungpu fault has aenerated large earthquakes during the last several thousand years. Alternatively, in the Miaoli area to the north and the Chiayi area to south, historical earthquakes as well as active geomorphic features are not restricted on the range-front thrust faults. Instead, more complicated structures, including tightly spaced folds, duplex structures, and strike-slip faults are involved in seismogenic processes. A more detailed investigation of regional structural characteristics is needed for mitigation against the seismic hazards in the 300-km-long active fold belt in western Taiwan, where several damaging large earthquakes have been documented during the last century. (c) 2007 Elsevier Ltd. All rights reserved.","Acad Sinica, Inst Earth Sci, Taipei 115, Taiwan.;",TAIWAN,TAIWAN,TAIWAN,2,1.0,1.0,"Lee, JC (corresponding author), Acad Sinica, Inst Earth Sci, POB 1-55, Taipei 115, Taiwan.",,,earthquake fault; thrust; Chi-Chi earthquake; Taiwan,10.1016/j.jseaes.2006.07.024,Article,OBSERVED SURFACE DISPLACEMENTS; CHELUNGPU FAULT; SLIP DISTRIBUTION; DEFORMATION; GEOMETRY; EVOLUTION,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,18,31,ISI,INST EARTH SCI,INST EARTH SCI,B1
2007.0,J. Asian Earth Sci.,The Chiuhsiungken fault A candidate to trigger a hazardous earthquake in western Taiwan,Lin C;Hsu C;Yu T,"The Chiuhsiungken fault located along the boundary between the Western Foothills fold-and-thrust belt and the Coastal Plain in the Chiayi-Yunlin area of Taiwan has been identified as an active thrust through geological and geomorphic investigations. Young geomorphic features provided by shortening across the Chiuhsiungken fault are well preserved and provide excellent examples to illustrate features provided by active thrust faulting. Historic seismicity records show that the deformation front in the Chiayi-Yunlin area is very active, and the fault slips at a rate of mm/yr based on tectonic geomorphic investigation. The Chiuhsiungken fault has the potential to produce large earthquakes in the future. The fault, with a length about 15 km, can be traced northward to the sinistral Kuken transfer fault and southward to near the sinistral Chuchi transfer fault. The maximum potential magnitude of an earthquake triggered by the Chiuhsiungken fault is estimated to be a M-w 6.4. However, the magnitude of the earthquake could be larger than expected if the adjacent faults rupture together with the Chiuhsiungken fault. (C) 2007 Elsevier Ltd. All rights reserved.","Natl Cheng Kung Univ, Dept Earth Sci, Tainan 701, Taiwan.; Natl Cheng Kung Univ, Disaster Prevent Res Ctr, Tainan 701, Taiwan.;",TAIWAN;TAIWAN,TAIWAN,TAIWAN,3,1.0,1.0,"Lin, CW (corresponding author), Natl Cheng Kung Univ, Dept Earth Sci, Tainan 701, Taiwan.",,,Chiuhsiungken fault; active thrust; earthquake; active geomorphic feature,10.1016/j.jseaes.2006.07.021,Article,FOOTHILLS; UPLIFT,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,8,30,ISI,NATL CHENG KUNG UNIV;NATL CHENG KUNG UNIV,NATL CHENG KUNG UNIV,B2
2009.0,J. Asian Earth Sci.,Foreshock characteristics in Taiwan Potential earthquake warning,Lin C,"Although foreshocks are often considered as a potential precursor in the short-term earthquake prediction, how to identify foreshocks before the mainshock Occurred is a problem. Abundant earthquakes in the Taiwan area might provide a good opportunity for investigating general foreshock characteristic as well as the potential earthquake warning. Here 10 earthquake sequences with significantly felt foreshocks (M(L) >= 4.0) are identified from an examination of 161 earthquakes (M(L) >= 5.0) in the Taiwan area during the period between 1990 and 2004. In addition to addressing larger magnitudes (ML >= 4.0), the criteria for selecting foreshocks have considered that (I) the earthquakes occurred within a distance of 15 km and 5 days to the main shock and (2) focal mechanisms of the main shock and foreshocks were generally consistent. The results show felt foreshocks Often Occurred at the strongly heterogeneous crust, particulary along the convergent zone between the Eurasian and Philippine Sea plates. Besides, the absence Of Clustered earthquakes after some large foreshocks may be considered as a criterion to distinguish felt foreshocks from the main shock for improving our ability of earthquake warnings in the Taiwan area. (C) 2008 Elsevier Ltd. All rights reserved,","Acad Sinica, Inst Earth Sci, Taipei, Taiwan.;",TAIWAN,TAIWAN,TAIWAN,1,1.0,1.0,"Lin, CH (corresponding author), Acad Sinica, Inst Earth Sci, POB 1-55, Taipei, Taiwan.","National Science Council and Central Weather Bureau, Taipei, Taiwan","The author Would like to thank the Central Weather Bureau in Taipei for providing earthquake catalogue data and the colleagues in the Institute of Earth Sciences, Academia Sinica for contributing the CMT solutions. The valuable comments and suggestions by Y.M. Wu are also appreciated. This research has been funded by both of National Science Council and Central Weather Bureau, Taipei, Taiwan.",Foreshock; Earthquake warning; Aftershocks; Crustal heterogeneity,10.1016/j.jseaes.2008.09.006,Article,NUCLEATION; PREDICTION; CALIFORNIA; PRECURSORS; SEQUENCE; JAPAN; EAST,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,11,34,ISI,INST EARTH SCI,INST EARTH SCI,B1
2009.0,J. Asian Earth Sci.,Modeling tsunami hazards from Manila trench to Taiwan,Wu T;Huang H,"The 2006 dual Pingtung earthquake event and the 2004 South Asia tsunami highlighted the potential tsunami hazards from Manila trench. Manila trench is only about 100 km away from Taiwan. therefore one shall punctuate the importance of thorough study on all possible tsunami scenarios for hazard mitigation. Based on the faults parameters issued by USGS and the seismic record from Global CMT, this Study creates a hypothetical earthquake tsunami scenario caused by seismic motion at Manila trench. The magnitude of the earthquake is 9.35 (M-w), the total length is 990 km, and the maximum initial free-surface height is 9.3 m. The initial displacement profile is provided in this paper. An open source code, COMCOT. is adopted to perform the simulation of the tsunami propagation, runup, and inundation around Taiwan. Nested grid system and moving boundary technique are adopted to study runup and inundation. The result shows that the maximum wave height is 11 m in southern Taiwan. Serious flooding is observed in the southwest coast of Taiwan. Tsunami inundation is able to reach 8.5 km inlandward. Due to the refraction effect, 8 m wave height is noted in the northeast coast of Taiwan. The detailed tsunami behavior around Taiwan is described in the context. (C) 2009 Elsevier Ltd. All rights reserved.","Natl Cent Univ, Grad Inst Hydrol & Ocean Sci, Tao Yuan 320, Taiwan.;",TAIWAN,TAIWAN,TAIWAN,2,1.0,1.0,"Wu, TR (corresponding author), Natl Cent Univ, Grad Inst Hydrol & Ocean Sci, 300 Jhongda Rd, Tao Yuan 320, Taiwan.",,,Taiwan tsunami; Numerical simulation; COMCOT; Manila trench; Worst-case scenario; Edge wave,10.1016/j.jseaes.2008.12.006,Article; Proceedings Paper,EARTHQUAKE,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,50,36,ISI,NATL CENT UNIV,NATL CENT UNIV,B1
2009.0,J. Asian Earth Sci.,Origin of methane in higharsenic groundwater of Taiwan Evidence from stable isotope analyses and radiocarbon dating,Liu T;Chen K;Yang T;Chen Y;Chen W;Kang S;Lee C,"Groundwaters in the confined aquifers of the Chianan and Ilan coastal plains of Taiwan are rich in dissolved methane (CH(4)). Serious endemic ""blackfoot disease"", which occurred in the Chianan plain, especially during AD1950-1970, has been demonstrated to have arisen from drinking highly reducing groundwater with abnormal arsenic and humic substance levels. In order to explore the origin of CH(4) and its hydrological implications, stable carbon isotope ratios (delta(13)C) and radiocarbon ((14)C) ages of exsolved CH(4), dissolved inorganic carbon (DIC), and sedimentary biogenic sediments from a total of 34 newly completed water wells at 16 sites were determined. The main results obtained are as follows: (1) The delta(13)C(CH4) (-65 parts per thousand to -75 parts per thousand) values indicate that, except for one thermogenic sample (delta(13)C(CH4) = 38.2 parts per thousand) from the Ilan plain, all CH(4) samples analyzed were produced via microbially mediated CO(2) reduction. Many delta(13)C(DIC) values are considerably greater than -10 parts per thousand and even up to similar to 10 parts per thousand due to Rayleigh enrichment during CO(2) reduction. (2) Almost all the (14)C ages of CH(4) samples from the shallow aquifer (I) (<60 m depth) are greater than the (14)C ages of coexisting DIC and sediments, suggesting the presence of CH4 from underlying aquifers. (3) The (14)C ages of coexisting CH(4), DIC and sediments from aquifer (II) of the Chianan plain are essentially equal, reflecting in-situ generation of CH(4) and DIC from decomposition of sedimentary organic matter and sluggishness of the groundwater flow. On the other hand, both CH(4) and DIC from each individual well of the relatively deep aquifers (III) and (IV) in the Chianan plain are remarkably younger than the deposition of their coexisting sediments, indicating that current groundwaters entered these two aquifers much later than the deposition of aquifer sediments. (4) Each CH(4) sample collected from the Ilan plain is older than coexisting DIC, which in turn is distinctly older than the deposition of respective aquifer sediments, demonstrating the presence of much older CO(2) and CH(4) from underlying strata. (c) 2009 Elsevier Ltd. All rights reserved.","Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.;  Ind Technol Res Inst, Energy & Environm Res Labs, Hsinchu, Taiwan.;  Chia Nan Univ Pharm & Sci, Inst Hot Spring Ind, Tainan, Taiwan.;",TAIWAN;TAIWAN;TAIWAN,TAIWAN,TAIWAN,7,1.0,,"Liu, TK (corresponding author), Natl Taiwan Univ, Dept Geosci, Taipei 10764, Taiwan.","National Science Council, Republic of ChinaMinistry of Science and Technology, Taiwan [NSC95-2116-M-002-017-MY3]","The authors thank Drs. B.M. Jahn, T. Laier and an anonymous reviewer for valuable comments and suggestions. We are grateful to Dr. Chao-Li Liu for technical instructions and measuring stable hydrogen isotopes. Thanks are also due to the Central Geological Survey, Ministry of Economic Affairs (ROC) for providing sediment core samples and related geological information, and the Groundwater Exploitation and Conservation Center of Taiwan Sugar Company for helping in water sampling. We also wish to thank Su-Chin Kang and Chun-Yen Chou for their laboratory assistance. This study is supported financially by National Science Council, Republic of China (Grant: NSC95-2116-M-002-017-MY3).",Methane (CH(4)); Dissolved inorganic carbon (DIC); High-arsenic groundwater; Taiwan; Stable isotopes; Radiocarbon dating,10.1016/j.jseaes.2009.06.009,Article,BRITISH-COLUMBIA; CO2 REDUCTION; SEDIMENTS; HYDROGEN; CANADA; CARBON; GASES; WATER; FLOW; CH4,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,8,36,ISI,NATL TAIWAN UNIV;IND TECHNOL RES INST;CHIA NAN UNIV PHARM AND SCI,NATL TAIWAN UNIV,A
2009.0,J. Asian Earth Sci.,Portable broadband seismic network in Vietnam for investigating tectonic deformation the Earths interior and earlywarning systems for earthquakes and tsunamis,Huang B;Le T;Liu C;Toan D;Huang W;Wu Y;Chen Y;Chang W,"As part of a collaborative project involving researchers from the Vietnamese Academy of Science and Technology (Hanoi, Vietnam), National Taiwan University (Taipei, Taiwan), and Academia Sinica (Taipei, Taiwan), a 25-station broadband seismic array was installed in northern Vietnam during December of 2005 with the aim of acquiring a wide dynamic range of seismic data at a high spatial density. The stations were designed to image and interpret crustal and mantle Structures beneath northern Vietnam, including information that Would help to reconstruct the geodynamic evolution of the Red River Fault Zone. Since its deployment, the array has recorded significant local, regional, and teleseismic events. The high-quality distance and azimuth coverage of available events will help LIS to answer questions regarding the nature of deep seismic structures beneath the array and the regional tectonic evolution. As an unexpected bonus, the array recorded near-antipodal seismic waves from significant seismic events in South America, thereby providing valuable seismic data for analysis of the Earth's deep interior. A similar network is planned for South Vietnam in the near future with the aim of studying the deep structure of the South China Sea. The proposed stations are scheduled for upgrades to enable the real-time transmission of data for earthquake monitoring and tsunami warnings for the South China Sea. (C) 2009 Elsevier Ltd. All rights reserved.","Acad Sinica, Inst Earth Sci, Taipei 115, Taiwan.;  Vietnamese Acad Sci & Technol, Inst Geophys, Hanoi, Vietnam.;  Vietnamese Acad Sci & Technol, Inst Geol Sci, Hanoi, Vietnam.;  Natl Taiwan Univ, Dept Geosci, Taipei 106, Taiwan.;  Natl Sci Council, Dept Nat Sci, Taipei 106, Taiwan.;",TAIWAN;VIETNAM;VIETNAM;TAIWAN;TAIWAN,TAIWAN,TAIWAN,8,1.0,,"Huang, BS (corresponding author), Acad Sinica, Inst Earth Sci, POB 1-55, Taipei 115, Taiwan.",,,Seismic monitoring; Broadband array,10.1016/j.jseaes.2009.02.012,Article; Proceedings Paper,2006 PINGTUNG EARTHQUAKE; SHEAR; BOUNDARY; CHINA,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,12,36,ISI,INST EARTH SCI;INST GEOPHYS;INST GEOL SCI;NATL TAIWAN UNIV;NATL SCI COUNCIL,INST EARTH SCI,A
2009.0,J. Asian Earth Sci.,Seismic velocities density porosity and permeability measured at a deep hole penetrating the Chelungpu fault in central Taiwan,Wang J;Hung J;Dong J,"On September 20, 1999, the M(s)7.6 Chi-Chi earthquake ruptured the Chelungpu fault in central Taiwan. After the earthquake, two deep boreholes cutting the fault were drilled. The seismic velocities (P- and S-wave velocities denoted by v(p) and v(s)) were well-logged at a 2000-m deep hole. The values of density, porosity and permeability of ten rock samples obtained at different depths were measured in the laboratory. Well-logged and measured results are used to study the following problems: (1) the depth variations in seismic velocities, porosity, and permeability; (2) the relationship between P- and S-wave velocities; (3) porosity-dependence of P- and S-wave velocities and their ratio: and (4) porosity-dependence of density. Results show that the polynomial can describe the depth variations in seismic velocities. The porosity slightly decreases with increasing depth. The permeability is depth-dependent and can be described by a polynomial, but the functions are different for different rock types. The porosity and permeability in the fault zone cannot be evaluated from the related depth-dependent functions inferred from wall rocks. A linear relationship, which is different from v(s) = 0.58 v(p) for the perfectly elastic materials, exists between v(s) and v(p). Seismic velocities linearly decrease with increasing porosity. The ratio of v(p) to v(s) slightly depends on the porosity. The porosity-dependent functions of bulk and shear modulus are constructed and their values for dry rocks are also evaluated. (C) 2009. Elsevier Ltd. All rights reserved.","Acad Sinica, Inst Earth Sci, Taipei 115, Taiwan.;  Natl Cent Univ, Dept Earth Sci, Jhongli, Taiwan.;  Natl Cent Univ, Grad Inst Appl Geol, Jhongli, Taiwan.;",TAIWAN;TAIWAN;TAIWAN,TAIWAN,TAIWAN,3,1.0,1.0,"Wang, JH (corresponding author), Acad Sinica, Inst Earth Sci, POB 1-55, Taipei 115, Taiwan.",Academia Sinica (Taipei)Academia Sinica - Taiwan; National Sciences Council [NSC94-2119-M-001-016],The authors would like to thank Prof. Ando (Associated Editor) and two reviewers for valuable comments. The study was financially supported by Academia Sinica (Taipei) and the National Sciences Council under Grant No. NSC94-2119-M-001-016.,Seismic velocity; Density; Porosity; Permeability; Bulk and shear modulus,10.1016/j.jseaes.2009.01.010,Article,SCIENTIFIC DRILL HOLES; 1999 CHI-CHI; WAVE VELOCITIES; UNCONSOLIDATED SANDS; ZONE CHARACTERISTICS; SUBSURFACE STRUCTURE; SITE AMPLIFICATIONS; PHYSICAL-PROPERTIES; PROJECT; CRUST,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,20,36,ISI,INST EARTH SCI;NATL CENT UNIV;NATL CENT UNIV,INST EARTH SCI,B2
2010.0,J. Asian Earth Sci.,A statistical study of ionospheric earthquake precursors monitored by using equatorial ionization anomaly of GPS TEC in Taiwan during 20012007,Liu J;Chen C;Chen V;Yang W;Oyama K;Kuo K,"In this paper, we examine pre-earthquake ionospheric anomalies by the total electron content (TEC) derived from a ground-based receiver of the global positioning system (GPS). A network of eight GPS receivers is used to construct daily latitude-time-TEC (LTT) plots to monitor the crest of equatorial ionization anomaly (EIA) in the Taiwan area. Three parameters of the strength, location, and formation time of the EIA crest are extracted. A 15-day running medians of the three parameters and the associated upper and lower quartiles are utilized as the references for identifying abnormal signals for all of the 150M >= 5.0 earthquakes in the Taiwan area during 2001-2007. Results show that the EIA crest significantly moves equatorward (poleward) and appears in an earlier (later) time of the afternoon period a few days before (after) the earthquakes along the Taiwan longitude. The two parameters of the EIA crest location and occurrence time can be employed to detect ionospheric earthquake precursors. The results further imply that atmospheric electric fields generated around the epicenter of a forthcoming earthquake during the preparation period are essential. (C) 2010 Published by Elsevier Ltd.","Natl Cent Univ, Inst Space Sci, Chungli 32054, Taiwan.;  Kyoto Univ, Grad Sch Sci, Dept Geophys, Kyoto, Japan.;  Natl Cent Univ, Ctr Space & Remote Sensing Res, Chungli 32054, Taiwan.;  Natl Cent Univ, Inst Stat, Chungli 32054, Taiwan.;  Cent Weather Bur, Taipei, Taiwan.;",TAIWAN;JAPAN;TAIWAN;TAIWAN;TAIWAN,TAIWAN,TAIWAN,6,1.0,,"Liu, JY (corresponding author), Natl Cent Univ, Inst Space Sci, Chungli 32054, Taiwan.","National Central University, National Science Council and Center Weather Bureau of Taiwan [NSC97-2116-M-008-013, MOTC-CWB-97-E-17]","The TEC is derived from GPS records of the Ministry of Interior of Taiwan, and the earthquake catalog is retrieved from Center Weather Bureau of Taiwan. This research is partially supported by the project NSC97-2116-M-008-013 and MOTC-CWB-97-E-17 of the National Central University granted by National Science Council and Center Weather Bureau of Taiwan.",Ionospheric earthquake precursor; GPS; Total electron content,10.1016/j.jseaes.2010.02.012,Article,TOTAL ELECTRON-CONTENT; ELECTROMAGNETIC DRIFTS; SECTORS; REGION; WINDS,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,51,39,ISI,NATL CENT UNIV;KYOTO UNIV;NATL CENT UNIV;NATL CENT UNIV,NATL CENT UNIV,A
2010.0,J. Asian Earth Sci.,Change of the ENSOrelated delta O18SST correlation from coral skeletons in northern South China Sea A possible influence from the Kuroshio Current,Chiang H;Chen Y;Fan T;Shen C,"Chemical proxies are useful analogs for reconstructing physical properties of sea water, such as sea surface temperature (SST) and sea surface salinity (SSS). Time series of these inferred properties would allow for reconstructions of past El Nino-Southern Oscillation (ENSO) events, where no instrumental records exist. In this study, a monthly oxygen isotope record from a Porites coral is used to explain how past ENSO events are recorded in the coral skeletons. The sample covers a 12 year period and was collected from Nanwan Bay, Taiwan. During El Nino events the coral skeleton is shown to produce a delta O-18-SST correlation with a slope of -0.12 +/- 0.04 parts per thousand degrees C-1. During other times, this value is significantly different, with a slope of -0.21 +/- 0.04 parts per thousand degrees C-1. Coral that grew during El Nino summers have delta O-18 values which are enriched by similar to 0.2 parts per thousand, relative to other times. A possible mechanism to explain this difference may be enhanced penetration of Kuroshio Current waters into the South China Sea during summer. The observed contrast in the correlation of delta O-18-SST variability in this sample supports the influence of El Nino in eastern Asia. (C) 2010 Elsevier Ltd. All rights reserved.","Natl Taiwan Univ, Dept Geosci, Taipei 106, Taiwan.;  Natl Museum Marine Biol & Aquarium, Pingtung 944, Taiwan.;",TAIWAN;TAIWAN,TAIWAN,TAIWAN,4,1.0,1.0,"Chen, YG (corresponding author), Natl Taiwan Univ, Dept Geosci, 1,Sec 4th,Roosevelt Rd, Taipei 106, Taiwan.","Taiwan NSCMinistry of Science and Technology, Taiwan [94-2116-M002-014, 95-2116-M002-020, 96-2116-M002-001-MY3]","We thank C.-I. Hu for the laboratory works. Constructive comments from G.S. Burr of the Department of Physics, University of Arizona, and two unknown reviewers are appreciated. Funding for this study was provided by Taiwan NSC Grants (94-2116-M002-014; 95-2116-M002-020 and 96-2116-M002-001-MY3).",Oxygen isotope; ENSO; Kuroshio,10.1016/j.jseaes.2010.04.007,Article,WESTERN TROPICAL PACIFIC; ASIAN WINTER MONSOON; SURFACE TEMPERATURE; EL-NINO; EQUATORIAL CURRENT; MINDANAO DOME; LUZON STRAIT; VARIABILITY; RECORDS; RECONSTRUCTION,PERGAMON-ELSEVIER SCIENCE LTD,JOURNAL OF ASIAN EARTH SCIENCES,6,39,ISI,NATL TAIWAN UNIV;NATL MUSEUM MARINE BIOL AND AQUARIUM,NATL TAIWAN UNIV,B2
